folder,checknum,Test_Sensitivity,Test_NPV
a5238163,000007,0.0,0.7794117647058824
a5238163,000005,0.0,0.7977941176470589
a5238163,000002,0.0,0.7757352941176471
a5238163,000008,0.0,0.7794117647058824
a5238163,000006,0.0,0.7573529411764706
a5238163,000001,0.0,0.7647058823529411
de63b9e9,000007,1.0,
de63b9e9,000000,1.0,
de63b9e9,000004,0.0,0.7867647058823529
de63b9e9,000009,0.0,0.7720588235294118
de63b9e9,000003,1.0,
de63b9e9,000001,1.0,
de63b9e9,000006,1.0,
de63b9e9,000002,0.0,0.7757352941176471
de63b9e9,000008,1.0,
de63b9e9,000005,1.0,
f7c509de,000000,0.0,0.7848605577689243
f7c509de,000007,0.1,0.7313432835820896
f7c509de,000009,0.16129032258064516,0.7425742574257426
f7c509de,000003,0.9850746268656716,0.9285714285714286
f7c509de,000004,0.9655172413793104,0.8888888888888888
f7c509de,000006,0.2878787878787879,0.7772511848341233
f7c509de,000001,0.9375,0.9111111111111111
f7c509de,000005,0.4,0.7676056338028169
f7c509de,000002,0.9508196721311475,0.9210526315789473
f7c509de,000008,0.7833333333333333,0.8571428571428571
c2e94398,000007,0.03333333333333333,0.779467680608365
c2e94398,000000,0.6481481481481481,0.8118811881188119
c2e94398,000004,0.9482758620689655,0.8333333333333334
c2e94398,000003,0.0,0.7536764705882353
c2e94398,000001,0.09375,0.7707509881422925
c2e94398,000006,0.9848484848484849,0.6666666666666666
c2e94398,000008,0.95,0.6666666666666666
c2e94398,000002,0.0,0.7757352941176471
c2e94398,000005,0.0,0.7962962962962963
06d7ab6b,000004,0.0,0.7867647058823529
06d7ab6b,000009,0.0,0.7720588235294118
06d7ab6b,000003,0.0,0.7536764705882353
06d7ab6b,000007,0.0,0.7794117647058824
06d7ab6b,000000,1.0,
06d7ab6b,000002,1.0,
06d7ab6b,000008,1.0,
06d7ab6b,000005,0.0,0.7977941176470589
06d7ab6b,000001,1.0,
06d7ab6b,000006,1.0,
6c130132,000007,0.0,0.7794117647058824
6c130132,000000,0.0,0.8014705882352942
6c130132,000004,0.0,0.7835820895522388
6c130132,000009,0.016129032258064516,0.7732342007434945
6c130132,000003,0.0,0.7536764705882353
6c130132,000001,0.015625,0.7649253731343284
6c130132,000006,0.0,0.7573529411764706
6c130132,000002,1.0,1.0
6c130132,000008,1.0,1.0
6c130132,000005,0.0,0.7970479704797048
6822c57d,000000,1.0,
6822c57d,000007,0.0,0.7794117647058824
6822c57d,000003,0.0,0.7536764705882353
6822c57d,000009,1.0,
6822c57d,000004,0.0,0.7867647058823529
6822c57d,000006,0.0,0.7573529411764706
6822c57d,000001,0.015625,0.7666666666666667
6822c57d,000005,0.0,0.7977941176470589
6822c57d,000008,1.0,1.0
6822c57d,000002,0.01639344262295082,0.7785977859778598
332a7561,000007,0.3,0.8125
332a7561,000000,0.2777777777777778,0.8318965517241379
332a7561,000004,0.20689655172413793,0.7973568281938326
332a7561,000009,0.25806451612903225,0.7982456140350878
332a7561,000003,0.34328358208955223,0.8009049773755657
332a7561,000001,0.28125,0.8059071729957806
332a7561,000006,0.4090909090909091,0.8235294117647058
332a7561,000002,0.4262295081967213,0.8372093023255814
332a7561,000008,0.23333333333333334,0.8042553191489362
332a7561,000005,0.2,0.811965811965812
0620051f,000002,0.8360655737704918,0.875
0620051f,000008,0.6833333333333333,0.8642857142857143
0620051f,000005,0.4727272727272727,0.8370786516853933
0620051f,000001,0.59375,0.8539325842696629
0620051f,000006,0.4696969696969697,0.7839506172839507
0620051f,000004,0.4827586206896552,0.8265895953757225
0620051f,000009,0.43548387096774194,0.8267326732673267
0620051f,000003,0.6268656716417911,0.8355263157894737
0620051f,000007,0.0,0.7752808988764045
0620051f,000000,0.8888888888888888,0.7777777777777778
7cc79b9a,000006,0.0,0.7573529411764706
7cc79b9a,000001,0.0,0.7647058823529411
7cc79b9a,000005,0.0,0.7977941176470589
7cc79b9a,000002,0.0,0.7757352941176471
7cc79b9a,000008,1.0,
7cc79b9a,000000,0.0,0.8014705882352942
7cc79b9a,000007,1.0,
7cc79b9a,000009,1.0,
7cc79b9a,000003,0.0,0.7536764705882353
7cc79b9a,000004,0.0,0.7867647058823529
75efe428,000005,1.0,
75efe428,000002,1.0,
75efe428,000008,0.0,0.7794117647058824
75efe428,000006,0.0,0.7573529411764706
75efe428,000001,0.0,0.7647058823529411
75efe428,000009,0.0,0.7720588235294118
75efe428,000003,0.0,0.7536764705882353
75efe428,000004,1.0,
75efe428,000000,0.0,0.8014705882352942
75efe428,000007,0.0,0.7794117647058824
6cf8a97b,000005,1.0,
6cf8a97b,000002,0.0,0.7757352941176471
6cf8a97b,000008,1.0,
6cf8a97b,000006,0.0,0.7573529411764706
6cf8a97b,000001,0.0,0.7647058823529411
6cf8a97b,000009,1.0,
6cf8a97b,000003,1.0,
6cf8a97b,000004,0.0,0.7867647058823529
6cf8a97b,000000,1.0,
6cf8a97b,000007,0.0,0.7794117647058824
1acaa710,000005,1.0,
1acaa710,000008,1.0,
1acaa710,000002,0.9016393442622951,0.9361702127659575
1acaa710,000006,0.5909090909090909,0.8411764705882353
1acaa710,000001,0.0,0.7647058823529411
1acaa710,000003,0.0,0.7536764705882353
1acaa710,000009,0.0,0.7720588235294118
1acaa710,000004,0.0,0.7867647058823529
1acaa710,000000,1.0,
1acaa710,000007,0.0,0.7794117647058824
1335469e,000008,0.0,0.7794117647058824
1335469e,000002,0.0,0.7757352941176471
1335469e,000005,0.0,0.7977941176470589
1335469e,000001,0.0,0.7647058823529411
1335469e,000006,0.0,0.7573529411764706
1335469e,000004,0.0,0.7867647058823529
1335469e,000003,0.0,0.7536764705882353
1335469e,000009,0.0,0.7720588235294118
1335469e,000007,0.0,0.7794117647058824
1335469e,000000,0.0,0.8014705882352942
c7f23c03,000007,0.5666666666666667,0.8354430379746836
c7f23c03,000000,0.18518518518518517,0.811965811965812
c7f23c03,000004,1.0,1.0
c7f23c03,000009,0.0,0.7720588235294118
c7f23c03,000003,0.6716417910447762,0.8267716535433071
c7f23c03,000001,0.984375,0.5
c7f23c03,000006,0.9242424242424242,0.8148148148148148
c7f23c03,000002,0.47540983606557374,0.8423645320197044
c7f23c03,000008,1.0,
c7f23c03,000005,0.8545454545454545,0.8181818181818182
18bb3bef,000008,0.0,0.7785977859778598
18bb3bef,000002,0.01639344262295082,0.7761194029850746
18bb3bef,000005,0.0,0.7940074906367042
18bb3bef,000001,0.703125,0.7790697674418605
18bb3bef,000006,0.0,0.7564575645756457
18bb3bef,000004,0.034482758620689655,0.7870722433460076
18bb3bef,000003,0.0,0.7527675276752768
18bb3bef,000009,0.7096774193548387,0.82
18bb3bef,000007,0.0,0.7794117647058824
18bb3bef,000000,0.0,0.8
54ab5e20,000007,1.0,
54ab5e20,000000,0.0,0.8014705882352942
54ab5e20,000004,0.0,0.7867647058823529
54ab5e20,000009,1.0,
54ab5e20,000003,1.0,
54ab5e20,000001,0.0,0.7647058823529411
54ab5e20,000006,1.0,1.0
54ab5e20,000002,0.0,0.7757352941176471
54ab5e20,000008,0.0,0.7794117647058824
54ab5e20,000005,1.0,
b9cc878a,000008,0.55,0.784
b9cc878a,000002,0.6065573770491803,0.8596491228070176
b9cc878a,000005,0.36363636363636365,0.8033707865168539
b9cc878a,000001,0.5,0.8048780487804879
b9cc878a,000006,0.6363636363636364,0.8344827586206897
b9cc878a,000004,0.4827586206896552,0.7872340425531915
b9cc878a,000003,0.3582089552238806,0.7839195979899497
b9cc878a,000009,0.3870967741935484,0.7682926829268293
b9cc878a,000007,0.43333333333333335,0.7702702702702703
b9cc878a,000000,0.6111111111111112,0.8346456692913385
fcb2e354,000005,0.7272727272727273,0.8026315789473685
fcb2e354,000008,0.016666666666666666,0.7748091603053435
fcb2e354,000002,0.0,0.7757352941176471
fcb2e354,000006,0.6666666666666666,0.7634408602150538
fcb2e354,000001,0.5625,0.7606837606837606
fcb2e354,000003,0.9552238805970149,0.8421052631578947
fcb2e354,000009,0.7903225806451613,0.6976744186046512
fcb2e354,000004,0.4827586206896552,0.7321428571428571
fcb2e354,000000,0.5370370370370371,0.8263888888888888
fcb2e354,000007,0.5,0.8214285714285714
d4d03bd1,000009,0.0,0.7720588235294118
d4d03bd1,000003,0.0,0.7536764705882353
d4d03bd1,000004,0.0,0.7867647058823529
d4d03bd1,000000,0.0,0.8014705882352942
d4d03bd1,000007,0.0,0.7794117647058824
d4d03bd1,000005,0.0,0.7977941176470589
d4d03bd1,000002,0.0,0.7757352941176471
d4d03bd1,000008,0.0,0.7794117647058824
d4d03bd1,000006,0.0,0.7573529411764706
d4d03bd1,000001,0.0,0.7647058823529411
bd859910,000007,0.9333333333333333,0.9183673469387755
bd859910,000000,0.0,0.8014705882352942
bd859910,000004,0.5862068965517241,0.8153846153846154
bd859910,000003,0.9850746268656716,0.6666666666666666
bd859910,000009,0.7096774193548387,0.7272727272727273
bd859910,000001,0.140625,0.7727272727272727
bd859910,000006,1.0,
bd859910,000008,0.18333333333333332,0.7562189054726368
bd859910,000002,0.3114754098360656,0.6842105263157895
bd859910,000005,0.6181818181818182,0.8372093023255814
3ff90057,000000,0.0,0.8014705882352942
3ff90057,000007,1.0,
3ff90057,000009,0.0,0.7720588235294118
3ff90057,000003,1.0,
3ff90057,000004,0.0,0.7867647058823529
3ff90057,000006,0.0,0.7573529411764706
3ff90057,000001,0.0,0.7647058823529411
3ff90057,000005,1.0,
3ff90057,000002,0.0,0.7757352941176471
3ff90057,000008,0.0,0.7794117647058824
5d8a554a,000007,0.0,0.7794117647058824
5d8a554a,000000,0.0,0.8014705882352942
5d8a554a,000004,0.0,0.7835820895522388
5d8a554a,000003,0.0,0.7536764705882353
5d8a554a,000009,1.0,
5d8a554a,000001,0.015625,0.7666666666666667
5d8a554a,000006,0.0,0.7573529411764706
5d8a554a,000008,1.0,1.0
5d8a554a,000002,1.0,
5d8a554a,000005,0.0,0.7977941176470589
4cf6e129,000003,0.0,0.7536764705882353
4cf6e129,000009,0.016129032258064516,0.7715355805243446
4cf6e129,000004,0.5862068965517241,0.7931034482758621
4cf6e129,000000,1.0,1.0
4cf6e129,000007,1.0,
4cf6e129,000005,0.01818181818181818,0.7946768060836502
4cf6e129,000008,0.8333333333333334,0.8765432098765432
4cf6e129,000002,0.06557377049180328,0.7654320987654321
4cf6e129,000006,0.9848484848484849,0.5
4cf6e129,000001,0.21875,0.7487437185929648
2e21dd1b,000001,0.953125,0.7272727272727273
2e21dd1b,000006,0.7424242424242424,0.8089887640449438
2e21dd1b,000008,0.45,0.7857142857142857
2e21dd1b,000002,0.8688524590163934,0.8461538461538461
2e21dd1b,000005,0.2545454545454545,0.7453416149068323
2e21dd1b,000007,0.48333333333333334,0.7181818181818181
2e21dd1b,000000,0.7037037037037037,0.8446601941747572
2e21dd1b,000004,0.5344827586206896,0.7652173913043478
