         10991207 function calls (10957755 primitive calls) in 128.270 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  128.085  128.085 data_loader.py:322(__init__)
     2131    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     5397    0.001    0.000    0.001    0.000 enum.py:792(value)
     5672    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_float}
      165    0.001    0.000    8.490    0.051 construction.py:100(arrays_to_mgr)
     6413    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      165    0.001    0.000    0.009    0.000 indexing.py:672(_get_setitem_indexer)
      330    0.001    0.000    0.004    0.000 managers.py:1934(from_array)
     5652    0.001    0.000    0.001    0.000 fromnumeric.py:584(_transpose_dispatcher)
      330    0.001    0.000    0.001    0.000 managers.py:1854(_consolidate_check)
 1456/319    0.001    0.000    0.001    0.000 core.py:130(_raw_split_into_pieces)
      330    0.001    0.000    0.001    0.000 _weakrefset.py:63(__iter__)
     2162    0.001    0.000    0.004    0.000 {method 'extend' of 'collections.deque' objects}
     5652    0.001    0.000    0.001    0.000 fromnumeric.py:1877(_nonzero_dispatcher)
      495    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_all_arraylike}
     5652    0.001    0.000    0.001    0.000 fromnumeric.py:3172(_ndim_dispatcher)
      330    0.001    0.000    0.002    0.000 std.py:101(acquire)
      165    0.001    0.000    0.001    0.000 construction.py:540(_prep_ndarraylike)
     1409    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      330    0.001    0.000    0.001    0.000 inference.py:266(is_dict_like)
     1356    0.001    0.000    0.003    0.000 base.py:286(is_dtype)
      165    0.001    0.000    0.018    0.000 series.py:486(_init_dict)
       10    0.001    0.000    0.012    0.001 inspect.py:997(getsourcelines)
     4950    0.001    0.000    0.001    0.000 {built-in method _warnings._filters_mutated}
     3016    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
     1366    0.001    0.000    0.001    0.000 util.py:260(get)
      165    0.001    0.000    0.001    0.000 series.py:1278(_check_is_chained_assignment_possible)
      495    0.001    0.000    0.001    0.000 blocks.py:2091(maybe_coerce_values)
      825    0.001    0.000    0.002    0.000 config.py:650(_warn_if_deprecated)
     2707    0.001    0.000    0.001    0.000 common.py:156(<lambda>)
      330    0.001    0.000    0.003    0.000 missing.py:645(na_value_for_dtype)
      165    0.001    0.000    0.001    0.000 range.py:118(__new__)
     1320    0.001    0.000    0.009    0.000 asttokens.py:128(get_token_from_utf8)
      165    0.001    0.000    0.005    0.000 nanops.py:588(nansum)
