         4152454 function calls (4091041 primitive calls) in 5.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1708    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1203    0.001    0.000    0.004    0.000 mark_tokens.py:186(handle_attr)
     5076    0.001    0.000    0.002    0.000 generic.py:45(_instancecheck)
      117    0.001    0.000    0.012    0.000 __init__.py:249(_make_prim)
     3565    0.001    0.000    0.002    0.000 token.py:43(__repr__)
     3603    0.001    0.000    0.001    0.000 mark_tokens.py:131(<genexpr>)
      954    0.001    0.000    0.002    0.000 dataclasses.py:612(_is_type)
      506    0.001    0.000    0.001    0.000 function_base.py:2285(__init__)
     4124    0.001    0.000    0.001    0.000 inspect.py:2830(<genexpr>)
     2125    0.001    0.000    0.014    0.000 genericpath.py:16(exists)
     5081    0.001    0.000    0.001    0.000 generic.py:40(_check)
       34    0.001    0.000    0.003    0.000 enum.py:179(__new__)
     2938    0.001    0.000    0.001    0.000 inspect.py:936(tokeneater)
    10282    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
    11310    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      336    0.001    0.000    0.081    0.000 construction.py:493(sanitize_array)
     1626    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
      391    0.001    0.000    0.011    0.000 typing.py:434(Union)
      177    0.001    0.000    0.005    0.000 wrappers.py:183(_out_wrapper)
     8005    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     4935    0.001    0.000    0.001    0.000 {method 'readline' of '_io.StringIO' objects}
7278/6828    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       13    0.001    0.000    0.001    0.000 {method 'fill' of 'numpy.ndarray' objects}
     1423    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        7    0.001    0.000    0.001    0.000 _builtins.py:134(register_all)
      173    0.001    0.000    0.007    0.000 frame.py:3758(__getitem__)
      126    0.001    0.000    0.010    0.000 _distn_infrastructure.py:674(_construct_argparser)
     2209    0.001    0.000    0.001    0.000 asttokens.py:145(prev_token)
        3    0.001    0.000    0.023    0.008 subprocess.py:1677(_execute_child)
     1091    0.001    0.000    0.003    0.000 ast.py:419(visit_Constant)
      350    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
     3547    0.001    0.000    0.001    0.000 sre_parse.py:165(__getitem__)
 1723/406    0.001    0.000    0.001    0.000 core.py:130(_raw_split_into_pieces)
  508/226    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
    15221    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
     2176    0.001    0.000    0.001    0.000 functools.py:65(wraps)
  187/177    0.001    0.000    0.026    0.000 executing.py:501(visit_FunctionDef)
     1851    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       31    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      159    0.001    0.000    1.954    0.012 edfreader.py:679(readSignal)
      126    0.001    0.000    0.042    0.000 _distn_infrastructure.py:755(_construct_doc)
        5    0.001    0.000    0.004    0.001 highlevel.py:538(read_edf_header)
     1076    0.001    0.000    0.003    0.000 mark_tokens.py:318(visit_const)
      191    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
        3    0.001    0.000    0.024    0.008 subprocess.py:756(__init__)
      159    0.001    0.000    0.004    0.000 base.py:6941(_cmp_method)
      262    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     3814    0.001    0.000    0.001    0.000 inspect.py:73(isclass)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
  581/180    0.001    0.000    0.001    0.000 sre_parse.py:175(getwidth)
     1708    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
       20    0.001    0.000    0.009    0.000 executing.py:675(<listcomp>)
      159    0.001    0.000    0.001    0.000 {pandas._libs.ops.scalar_compare}
     3242    0.001    0.000    0.001    0.000 sre_parse.py:255(get)
     1425    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     5538    0.001    0.000    0.001    0.000 {method 'signal_label' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
     3412    0.001    0.000    0.030    0.000 lexer.py:249(streamer)
     2580    0.001    0.000    0.001    0.000 typing_extensions.py:133(_should_collect_from_parameters)
        1    0.001    0.001    0.001    0.001 conv.py:232(ConvTranspose2d)
        5    0.001    0.000    0.001    0.000 asttokens.py:62(<listcomp>)
     5895    0.001    0.000    0.001    0.000 mark_tokens.py:149(visit_default)
     9157    0.001    0.000    0.001    0.000 inspect.py:2560(kind)
     5220    0.001    0.000    0.001    0.000 {method 'prefilter' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
      924    0.001    0.000    0.005    0.000 typing.py:677(__init__)
  147/137    0.001    0.000    0.006    0.000 series.py:342(__init__)
      328    0.001    0.000    0.002    0.000 _docscrape.py:68(read_to_condition)
       75    0.001    0.000    0.001    0.000 function.py:282(__init__)
     2898    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      406    0.001    0.000    0.002    0.000 inspect.py:1840(_signature_bound_method)
     5220    0.001    0.000    0.001    0.000 {method 'transducer' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
       86    0.001    0.000    0.001    0.000 managers.py:1129(iget)
      107    0.001    0.000    0.009    0.000 _distn_infrastructure.py:1966(_attach_methods)
      391    0.001    0.000    0.002    0.000 typing.py:232(_remove_dups_flatten)
   468/14    0.001    0.000    0.002    0.000 executing.py:809(finder)
     6085    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     5220    0.001    0.000    0.001    0.000 {method 'physical_dimension' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
     1424    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
     4066    0.001    0.000    0.001    0.000 enum.py:670(__new__)
   229/79    0.001    0.000    0.009    0.000 sre_parse.py:436(_parse_sub)
     2504    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
